id,artists,duration_ms,name,popularity,music_composer,release_date,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
13wIQbwSuQ4YFvDvtQgSVc,"Harris Jayaraj, Unnikrishnan, Chinmayi, Mega",316680,Vaarayo Vaarayo,55,Harris Jayaraj,2009-08-09,Aadhavan (Original Motion Picture Soundtrack),0.718,0.361,5,-9.74,0,0.0298,0.565,0.119,0.151,0.446,103.0,audio_features,spotify:track:13wIQbwSuQ4YFvDvtQgSVc,https://api.spotify.com/v1/tracks/13wIQbwSuQ4YFvDvtQgSVc,https://api.spotify.com/v1/audio-analysis/13wIQbwSuQ4YFvDvtQgSVc,316680,4
6Oxi59DXmDpwBP1Vr7X16Q,"Dharan Kumar, Naresh Iyer, Madhan Karky",254380,Honeyae Honeyae (Male),12,Dharan Kumar,2014-01-20,Aaha Kalyanam - Tamil,0.554,0.732,10,-5.473,1,0.0582,0.337,0.0,0.121,0.342,152.046,audio_features,spotify:track:6Oxi59DXmDpwBP1Vr7X16Q,https://api.spotify.com/v1/tracks/6Oxi59DXmDpwBP1Vr7X16Q,https://api.spotify.com/v1/audio-analysis/6Oxi59DXmDpwBP1Vr7X16Q,254380,4
6hSfjpsNSBwGuj528LhyAI,"Dharan Kumar, Shweta Mohan, Guna, Thamarai",284316,Mazhaiyin Saaralil,35,Dharan Kumar,2014-01-20,Aaha Kalyanam - Tamil,0.753,0.427,11,-9.463,1,0.0314,0.375,3.67e-05,0.087,0.656,119.974,audio_features,spotify:track:6hSfjpsNSBwGuj528LhyAI,https://api.spotify.com/v1/tracks/6hSfjpsNSBwGuj528LhyAI,https://api.spotify.com/v1/audio-analysis/6hSfjpsNSBwGuj528LhyAI,284317,4
4Jx9JX7oeFCUQ63tGLHI7n,"Dhruv Vikram, Banita Sandhu",249076,Edharkadi - Male,39,Radhan,2019-10-22,Adithya Varma,0.461,0.4,5,-7.277,0,0.0341,0.392,0.0,0.177,0.416,182.857,audio_features,spotify:track:4Jx9JX7oeFCUQ63tGLHI7n,https://api.spotify.com/v1/tracks/4Jx9JX7oeFCUQ63tGLHI7n,https://api.spotify.com/v1/audio-analysis/4Jx9JX7oeFCUQ63tGLHI7n,249077,3
4tnYe9sSjFtdEuQJlrgDU2,"Dhvani Bhanushali, Dhruv Vikram, Banita Sandhu",184825,Dhooram - Female,35,Radhan,2019-10-22,Adithya Varma,0.547,0.276,5,-13.583,1,0.043,0.91,0.0214,0.13,0.4,75.452,audio_features,spotify:track:4tnYe9sSjFtdEuQJlrgDU2,https://api.spotify.com/v1/tracks/4tnYe9sSjFtdEuQJlrgDU2,https://api.spotify.com/v1/audio-analysis/4tnYe9sSjFtdEuQJlrgDU2,184825,4
2GYzXSeNa3Y0BfIfS1VJj3,"Sid Sriram, Dhruv Vikram, Banita Sandhu",198250,Yaen Ennai Pirindhaai - Male,62,Radhan,2019-10-22,Adithya Varma,0.563,0.432,1,-7.862,1,0.0278,0.818,7.61e-06,0.119,0.348,76.499,audio_features,spotify:track:2GYzXSeNa3Y0BfIfS1VJj3,https://api.spotify.com/v1/tracks/2GYzXSeNa3Y0BfIfS1VJj3,https://api.spotify.com/v1/audio-analysis/2GYzXSeNa3Y0BfIfS1VJj3,198250,4
10fOnYaNwPEbbtKbX1Pfoc,"Sid Sriram, Dhruv Vikram, Banita Sandhu",248709,Yaarumillaa - Male,44,Radhan,2019-10-22,Adithya Varma,0.483,0.291,0,-9.953,1,0.0253,0.675,0.0,0.115,0.385,153.94,audio_features,spotify:track:10fOnYaNwPEbbtKbX1Pfoc,https://api.spotify.com/v1/tracks/10fOnYaNwPEbbtKbX1Pfoc,https://api.spotify.com/v1/audio-analysis/10fOnYaNwPEbbtKbX1Pfoc,248710,3
6ZHEOmm6t0rsd0OU9K4LqG,"krithika Nelson, Dhruv Vikram, Banita Sandhu",176500,kanaa - Female,35,Radhan,2019-10-22,Adithya Varma,0.591,0.124,9,-17.561,1,0.0363,0.909,0.000321,0.137,0.451,121.707,audio_features,spotify:track:6ZHEOmm6t0rsd0OU9K4LqG,https://api.spotify.com/v1/tracks/6ZHEOmm6t0rsd0OU9K4LqG,https://api.spotify.com/v1/audio-analysis/6ZHEOmm6t0rsd0OU9K4LqG,176500,3
6O52Gdt9OavMR0PPMKKzSc,"Priyanka, Dhruv Vikram, Banita Sandhu",345250,Amudhangalaal - Female,37,Radhan,2019-10-22,Adithya Varma,0.673,0.533,2,-8.661,1,0.057,0.172,0.00591,0.0868,0.252,140.034,audio_features,spotify:track:6O52Gdt9OavMR0PPMKKzSc,https://api.spotify.com/v1/tracks/6O52Gdt9OavMR0PPMKKzSc,https://api.spotify.com/v1/audio-analysis/6O52Gdt9OavMR0PPMKKzSc,345250,4
2tBeQNptQbLjSrBDsryomr,"Ranjith Govind, Dhruv Vikram, Banita Sandhu",202750,Idhu Enna Maayamo - Male,35,Radhan,2019-10-22,Adithya Varma,0.524,0.512,4,-8.699,1,0.0304,0.577,4.83e-06,0.117,0.345,135.821,audio_features,spotify:track:2tBeQNptQbLjSrBDsryomr,https://api.spotify.com/v1/tracks/2tBeQNptQbLjSrBDsryomr,https://api.spotify.com/v1/audio-analysis/2tBeQNptQbLjSrBDsryomr,202750,3
